の, 助詞,連体化,*,*,*,*,の,ノ,ノ
土地, 名詞,一般,*,*,*,*,土地,トチ,トチ
Washington Post, 名詞,固有名詞,一般,*,*,*,Washington Post,ワシントンポスト,ワシントンポスト
フィリップ, 名詞,固有名詞,人名,姓,*,*,フィリップ,フィリップ,フィリップ
発射台, 名詞,固有名詞,一般,*,*,*,発射台,ハッシャダイ,ハッシャダイ
癒着, 名詞,サ変接続,*,*,*,*,癒着,ユチャク,ユチャク
着, 動詞,自立,*,*,一段,連用形,着る,キ,キ
光景, 名詞,一般,*,*,*,*,光景,コウケイ,コーケイ
働い, 動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ
結託, 名詞,サ変接続,*,*,*,*,結託,ケッタク,ケッタク
オープン選手権, 名詞,固有名詞,一般,*,*,*,オープン選手権,オープンセンシュケン,オープンセンシュケン
ちなん, 動詞,自立,*,*,五段・マ行,連用タ接続,ちなむ,チナン,チナン
ロシア軍, 名詞,固有名詞,一般,*,*,*,ロシア軍,ロシアグン,ロシアグン
心配, 名詞,サ変接続,*,*,*,*,心配,シンパイ,シンパイ
ぶり, 名詞,接尾,一般,*,*,*,ぶり,ブリ,ブリ
キューバ政府, 名詞,固有名詞,一般,*,*,*,キューバ政府,キューバセイフ,キューバセイフ
謝罪, 名詞,サ変接続,*,*,*,*,謝罪,シャザイ,シャザイ
自殺, 名詞,サ変接続,*,*,*,*,自殺,ジサツ,ジサツ
For, 名詞,固有名詞,組織,*,*,*,*
移し, 動詞,自立,*,*,五段・サ行,連用形,移す,ウツシ,ウツシ
宗教, 名詞,一般,*,*,*,*,宗教,シュウキョウ,シューキョー
超える, 動詞,自立,*,*,一段,基本形,超える,コエル,コエル
ＵＰＳ, 名詞,一般,*,*,*,*,*
請願書, 名詞,固有名詞,一般,*,*,*,請願書,セイガンショ,セイガンショ
昨年11月, 名詞,固有名詞,一般,*,*,*,昨年11月,サクネンジュウイチガツ,サクネンジューイチガツ
抱い, 動詞,自立,*,*,五段・カ行イ音便,連用タ接続,抱く,ダイ,ダイ
広がる, 動詞,自立,*,*,五段・ラ行,基本形,広がる,ヒロガル,ヒロガル
サンパウロ, 名詞,固有名詞,地域,一般,*,*,サンパウロ,サンパウロ,サンパウロ
応戦, 名詞,サ変接続,*,*,*,*,応戦,オウセン,オーセン
ボランティア, 名詞,一般,*,*,*,*,ボランティア,ボランティア,ボランティア
残酷, 名詞,形容動詞語幹,*,*,*,*,残酷,ザンコク,ザンコク
備え付け, 名詞,一般,*,*,*,*,備え付け,ソナエツケ,ソナエツケ
encounter, 名詞,固有名詞,組織,*,*,*,*
受賞講演, 名詞,固有名詞,一般,*,*,*,受賞講演,ジュショウコウエン,ジュショーコーエン
かね, 動詞,非自立,*,*,一段,未然形,かねる,カネ,カネ
異例, 名詞,一般,*,*,*,*,異例,イレイ,イレイ
大統領首席補佐官, 名詞,固有名詞,一般,*,*,*,アメリカ合衆国大統領首席補佐官,ダイトウリョウシュセキホサカン,ダイトーリョーシュセキホサカン
キャディー, 名詞,一般,*,*,*,*,キャディー,キャディー,キャディー
ツアー, 名詞,一般,*,*,*,*,ツアー,ツアー,ツアー
日本側, 名詞,固有名詞,一般,*,*,*,日本側,ニッポンガワ,ニッポンガワ
発信, 名詞,サ変接続,*,*,*,*,発信,ハッシン,ハッシン
行方, 名詞,一般,*,*,*,*,行方,ユクエ,ユクエ
重要性, 名詞,固有名詞,一般,*,*,*,重要性,ジュウヨウセイ,ジューヨーセイ
双方, 名詞,一般,*,*,*,*,双方,ソウホウ,ソーホー
程度, 名詞,接尾,一般,*,*,*,程度,テイド,テイド
カンディ, 名詞,固有名詞,一般,*,*,*,カンディ,カンディ,カンディ
You, 名詞,固有名詞,一般,*,*,*,You,ユウ,ユー
食料, 名詞,一般,*,*,*,*,食料,ショクリョウ,ショクリョー
共謀, 名詞,サ変接続,*,*,*,*,共謀,キョウボウ,キョーボー
債務, 名詞,一般,*,*,*,*,債務,サイム,サイム
落ち, 動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ
髪の毛, 名詞,一般,*,*,*,*,髪の毛,カミノケ,カミノケ
見出し, 名詞,一般,*,*,*,*,見出し,ミダシ,ミダシ
地球温暖化対策, 名詞,固有名詞,一般,*,*,*,地球温暖化対策,チキュウオンダンカタイサク,チキューオンダンカタイサク
アサド政権, 名詞,固有名詞,一般,*,*,*,アサド政権,アサドセイケン,アサドセイケン
5月9日, 名詞,固有名詞,一般,*,*,*,5月9日,ゴガツココノカ,ゴガツココノカ
遅れ, 動詞,自立,*,*,一段,連用形,遅れる,オクレ,オクレ
人工妊娠中絶, 名詞,固有名詞,一般,*,*,*,人工妊娠中絶,ジンコウニンシンチュウゼツ,ジンコーニンシンチューゼツ
各党, 名詞,一般,*,*,*,*,各党,カクトウ,カクトー
ルート, 名詞,一般,*,*,*,*,ルート,ルート,ルート
出国, 名詞,サ変接続,*,*,*,*,出国,シュッコク,シュッコク
人権, 名詞,一般,*,*,*,*,人権,ジンケン,ジンケン
命じ, 動詞,自立,*,*,一段,未然形,命じる,メイジ,メイジ
合わせ, 動詞,自立,*,*,一段,連用形,合わせる,アワセ,アワセ
県, 名詞,一般,*,*,*,*,県,ケン,ケン
ナチス, 名詞,固有名詞,組織,*,*,*,ナチス,ナチス,ナチス
直前, 名詞,一般,*,*,*,*,直前,チョクゼン,チョクゼン
土佐, 名詞,固有名詞,人名,姓,*,*,土佐,トサ,トサ
Daniel, 名詞,固有名詞,一般,*,*,*,Daniel,ダニエル,ダニエル
マーク, 名詞,サ変接続,*,*,*,*,マーク,マーク,マーク
Otto, 名詞,固有名詞,組織,*,*,*,*
割れ, 名詞,接尾,一般,*,*,*,割れ,ワレ,ワレ
不服従, 名詞,固有名詞,一般,*,*,*,不服従,フフクジュウ,フフクジュー
爆弾, 名詞,一般,*,*,*,*,爆弾,バクダン,バクダン
警察官, 名詞,一般,*,*,*,*,警察官,ケイサツカン,ケイサツカン
起用, 名詞,サ変接続,*,*,*,*,起用,キヨウ,キヨー
国連気候変動枠組み条約, 名詞,固有名詞,一般,*,*,*,気候変動枠組み条約,コクレンキコウヘンドウワクグミジョウヤク,コクレンキコーヘンドーワクグミジョーヤク
工学, 名詞,一般,*,*,*,*,工学,コウガク,コーガク
世界各地, 名詞,固有名詞,一般,*,*,*,世界各地,セカイカクチ,セカイカクチ
けが, 名詞,一般,*,*,*,*,けが,ケガ,ケガ
合衆国, 名詞,固有名詞,地域,国,*,*,合衆国,ガッシュウコク,ガッシューコク
みんな, 名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ
隻, 名詞,接尾,助数詞,*,*,*,隻,セキ,セキ
掘削, 名詞,サ変接続,*,*,*,*,掘削,クッサク,クッサク
及び, 動詞,自立,*,*,五段・バ行,連用形,及ぶ,オヨビ,オヨビ
ヒジャブ, 名詞,固有名詞,一般,*,*,*,ヒジャブ,ヒジャブ,ヒジャブ
エリック, 名詞,固有名詞,人名,名,*,*,エリック,エリック,エリック
両氏, 名詞,一般,*,*,*,*,両氏,リョウシ,リョーシ
過ぎ, 名詞,接尾,副詞可能,*,*,*,過ぎ,スギ,スギ
開票, 名詞,サ変接続,*,*,*,*,開票,カイヒョウ,カイヒョー
鄭, 名詞,固有名詞,人名,姓,*,*,鄭,テイ,テイ
音声, 名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
政府軍, 名詞,固有名詞,一般,*,*,*,政府軍,セイフグン,セイフグン
寄せ, 動詞,自立,*,*,一段,未然形,寄せる,ヨセ,ヨセ
合弁事業, 名詞,固有名詞,一般,*,*,*,合弁事業,ゴウベンジギョウ,ゴーベンジギョー
図解, 名詞,サ変接続,*,*,*,*,図解,ズカイ,ズカイ
弁護士, 名詞,一般,*,*,*,*,弁護士,ベンゴシ,ベンゴシ
首脳, 名詞,一般,*,*,*,*,首脳,シュノウ,シュノー
産地, 名詞,一般,*,*,*,*,産地,サンチ,サンチ
西独, 名詞,固有名詞,地域,国,*,*,西独,セイドク,セイドク
映画, 名詞,一般,*,*,*,*,映画,エイガ,エイガ
割, 名詞,接尾,助数詞,*,*,*,割,ワリ,ワリ
ワーンビア, 名詞,固有名詞,一般,*,*,*,*
やすい, 形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ
つながり, 名詞,一般,*,*,*,*,つながり,ツナガリ,ツナガリ
尋ね, 動詞,自立,*,*,一段,未然形,尋ねる,タズネ,タズネ
ミンダナオ島, 名詞,固有名詞,一般,*,*,*,ミンダナオ島,ミンダナオトウ,ミンダナオトー
原告, 名詞,一般,*,*,*,*,原告,ゲンコク,ゲンコク
キム, 名詞,固有名詞,人名,姓,*,*,キム,キム,キム
投入, 名詞,サ変接続,*,*,*,*,投入,トウニュウ,トーニュー
キスリャク, 名詞,一般,*,*,*,*,*
過半数, 名詞,一般,*,*,*,*,過半数,カハンスウ,カハンスー
進める, 動詞,自立,*,*,一段,基本形,進める,ススメル,ススメル
民主, 名詞,一般,*,*,*,*,民主,ミンシュ,ミンシュ
日程, 名詞,一般,*,*,*,*,日程,ニッテイ,ニッテイ
Jiangsu, 名詞,固有名詞,組織,*,*,*,*
！, 記号,一般,*,*,*,*,！,！,！
意味不明, 名詞,固有名詞,一般,*,*,*,意味不明,イミフメイ,イミフメイ
取り組む, 動詞,自立,*,*,五段・マ行,基本形,取り組む,トリクム,トリクム
海上保安庁, 名詞,固有名詞,組織,*,*,*,海上保安庁,カイジョウホアンチョウ,カイジョーホアンチョー
忌まわしい, 形容詞,自立,*,*,形容詞・イ段,基本形,忌まわしい,イマワシイ,イマワシイ
持た, 動詞,自立,*,*,五段・タ行,未然形,持つ,モタ,モタ
立ち, 動詞,自立,*,*,五段・タ行,連用形,立つ,タチ,タチ
光貞, 名詞,固有名詞,人名,名,*,*,光貞,ミツサダ,ミツサダ
米財務省, 名詞,固有名詞,一般,*,*,*,米財務省,ベイザイムショウ,ベイザイムショー
定数, 名詞,一般,*,*,*,*,定数,テイスウ,テイスー
明記, 名詞,サ変接続,*,*,*,*,明記,メイキ,メイキ
長い間, 名詞,固有名詞,一般,*,*,*,長い間,ナガイアイダ,ナガイアイダ
主人公, 名詞,一般,*,*,*,*,主人公,シュジンコウ,シュジンコー
行い, 動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
迫ら, 動詞,自立,*,*,五段・ラ行,未然形,迫る,セマラ,セマラ
消火器, 名詞,一般,*,*,*,*,消火器,ショウカキ,ショーカキ
懸かる, 動詞,自立,*,*,五段・ラ行,基本形,懸かる,カカル,カカル
物流, 名詞,一般,*,*,*,*,物流,ブツリュウ,ブツリュー
囲ま, 動詞,自立,*,*,五段・マ行,未然形,囲む,カコマ,カコマ
基づく, 動詞,自立,*,*,五段・カ行イ音便,基本形,基づく,モトヅク,モトズク
ガレッティ, 名詞,固有名詞,一般,*,*,*,ガレッティ,ガレッティ,ガレッティ
577, 名詞,数,*,*,*,*,*
振る舞い, 名詞,一般,*,*,*,*,振る舞い,フルマイ,フルマイ
解除, 名詞,サ変接続,*,*,*,*,解除,カイジョ,カイジョ
The Who, 名詞,固有名詞,一般,*,*,*,The Who,ザフー,ザフー
乗り出し, 動詞,自立,*,*,五段・サ行,連用形,乗り出す,ノリダシ,ノリダシ
実験, 名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン
65人, 名詞,固有名詞,一般,*,*,*,65人,ロクジュウゴニン,ロクジュウゴニン
兼, 名詞,接続詞的,*,*,*,*,兼,ケン,ケン
緊張, 名詞,サ変接続,*,*,*,*,緊張,キンチョウ,キンチョー
取得, 名詞,サ変接続,*,*,*,*,取得,シュトク,シュトク
人気, 名詞,一般,*,*,*,*,人気,ニンキ,ニンキ
表面, 名詞,一般,*,*,*,*,表面,ヒョウメン,ヒョーメン
与野党, 名詞,一般,*,*,*,*,与野党,ヨヤトウ,ヨヤトー
妻, 名詞,一般,*,*,*,*,妻,ツマ,ツマ
記者団, 名詞,固有名詞,一般,*,*,*,記者団,キシャダン,キシャダン
に関して, 助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
前市長, 名詞,固有名詞,一般,*,*,*,前市長,ゼンシチョウ,ゼンシチョー
ケンジントン, 名詞,固有名詞,一般,*,*,*,ケンジントン,ケンジントン,ケンジントン
加工, 名詞,サ変接続,*,*,*,*,加工,カコウ,カコー
民主政治, 名詞,固有名詞,一般,*,*,*,民主政治,ミンシュセイジ,ミンシュセイジ
正しい, 形容詞,自立,*,*,形容詞・イ段,基本形,正しい,タダシイ,タダシイ
ＳＤＲ, 名詞,一般,*,*,*,*,SDR,エスディーアール,エスディーアール
ya, 名詞,固有名詞,一般,*,*,*,ya,ヤ,ヤ
余儀なく, 形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,余儀ない,ヨギナク,ヨギナク
運河, 名詞,一般,*,*,*,*,運河,ウンガ,ウンガ
輸送, 名詞,サ変接続,*,*,*,*,輸送,ユソウ,ユソー
意, 名詞,一般,*,*,*,*,意,イ,イ
申し立て, 動詞,自立,*,*,一段,連用形,申し立てる,モウシタテ,モーシタテ
逃れ, 動詞,自立,*,*,一段,連用形,逃れる,ノガレ,ノガレ
規定, 名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
韓国国民, 名詞,固有名詞,一般,*,*,*,韓国国民,カンコクコクミン,カンコクコクミン
交わし, 動詞,自立,*,*,五段・サ行,連用形,交わす,カワシ,カワシ
Leaves, 名詞,固有名詞,組織,*,*,*,*
ところが, 接続詞,*,*,*,*,*,ところが,トコロガ,トコロガ
要求, 名詞,サ変接続,*,*,*,*,要求,ヨウキュウ,ヨーキュー
無視, 名詞,サ変接続,*,*,*,*,無視,ムシ,ムシ
貿易, 名詞,サ変接続,*,*,*,*,貿易,ボウエキ,ボーエキ
譲歩, 名詞,サ変接続,*,*,*,*,譲歩,ジョウホ,ジョーホ
なお, 接続詞,*,*,*,*,*,なお,ナオ,ナオ
内密, 名詞,一般,*,*,*,*,内密,ナイミツ,ナイミツ
ペ, 名詞,一般,*,*,*,*,ペ,ペ,ペ
逃げ, 名詞,一般,*,*,*,*,逃げ,ニゲ,ニゲ
責任者, 名詞,固有名詞,一般,*,*,*,責任者,セキニンシャ,セキニンシャ
罪, 名詞,一般,*,*,*,*,罪,ツミ,ツミ
気持ち, 名詞,一般,*,*,*,*,気持ち,キモチ,キモチ
前大統領, 名詞,固有名詞,一般,*,*,*,前大統領,ゼンダイトウリョウ,ゼンダイトウリョー
このまま, 名詞,一般,*,*,*,*,このまま,コノママ,コノママ
ダニー, 名詞,固有名詞,人名,名,*,*,ダニー,ダニー,ダニー
つない, 動詞,自立,*,*,五段・ガ行,連用タ接続,つなぐ,ツナイ,ツナイ
子ども, 名詞,一般,*,*,*,*,子ども,コドモ,コドモ
ロシア側, 名詞,固有名詞,一般,*,*,*,ロシア側,ロシアガワ,ロシアガワ
通過, 名詞,サ変接続,*,*,*,*,通過,ツウカ,ツーカ
残念, 名詞,形容動詞語幹,*,*,*,*,残念,ザンネン,ザンネン
上海, 名詞,固有名詞,地域,一般,*,*,上海,シャンハイ,シャンハイ
労働党, 名詞,固有名詞,組織,*,*,*,労働党,ロウドウトウ,ロードートー
深く, 形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,深い,フカク,フカク
恩恵, 名詞,一般,*,*,*,*,恩恵,オンケイ,オンケイ
文法的, 名詞,固有名詞,一般,*,*,*,文法的,ブンポウテキ,ブンポーテキ
残る, 動詞,自立,*,*,五段・ラ行,基本形,残る,ノコル,ノコル
職, 名詞,一般,*,*,*,*,職,ショク,ショク
セント, 名詞,一般,*,*,*,*,セント,セント,セント
ほしい, 形容詞,非自立,*,*,形容詞・イ段,基本形,ほしい,ホシイ,ホシイ
燃え, 動詞,自立,*,*,一段,連用形,燃える,モエ,モエ
有効, 名詞,形容動詞語幹,*,*,*,*,有効,ユウコウ,ユーコー
5月, 名詞,固有名詞,一般,*,*,*,5月,ゴガツ,ゴガツ
＆, 記号,一般,*,*,*,*,＆,アンド,アンド
受け取っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,受け取る,ウケトッ,ウケトッ
深刻, 名詞,形容動詞語幹,*,*,*,*,深刻,シンコク,シンコク
繰り返し, 動詞,自立,*,*,五段・サ行,連用形,繰り返す,クリカエシ,クリカエシ
道, 名詞,一般,*,*,*,*,道,ミチ,ミチ
守る, 動詞,自立,*,*,五段・ラ行,基本形,守る,マモル,マモル
決断, 名詞,サ変接続,*,*,*,*,決断,ケツダン,ケツダン
完治, 名詞,固有名詞,人名,名,*,*,完治,カンジ,カンジ
代替, 名詞,サ変接続,*,*,*,*,代替,ダイタイ,ダイタイ
歯止め, 名詞,一般,*,*,*,*,歯止め,ハドメ,ハドメ
継続, 名詞,サ変接続,*,*,*,*,継続,ケイゾク,ケイゾク
延与, 名詞,固有名詞,人名,姓,*,*,延与,エンヨ,エンヨ
調整, 名詞,サ変接続,*,*,*,*,調整,チョウセイ,チョーセイ
保守系, 名詞,固有名詞,一般,*,*,*,保守系,ホシュケイ,ホシュケイ
務める, 動詞,自立,*,*,一段,基本形,務める,ツトメル,ツトメル
自国民, 名詞,固有名詞,一般,*,*,*,自国民,ジコクミン,ジコクミン
?」, 記号,一般,*,*,*,*,*
エベレスト, 名詞,一般,*,*,*,*,エベレスト,エベレスト,エベレスト
中央, 名詞,一般,*,*,*,*,中央,チュウオウ,チューオー
グレンフェル・タワー, 名詞,一般,*,*,*,*,*
悲しん, 動詞,自立,*,*,五段・マ行,連用タ接続,悲しむ,カナシン,カナシン
パイロット, 名詞,一般,*,*,*,*,パイロット,パイロット,パイロット
ハローキティ, 名詞,固有名詞,一般,*,*,*,Hello Kitty,ハローキティ,ハローキティ
示唆, 名詞,サ変接続,*,*,*,*,示唆,シサ,シサ
教訓, 名詞,サ変接続,*,*,*,*,教訓,キョウクン,キョークン
にわたって, 助詞,格助詞,連語,*,*,*,にわたって,ニワタッテ,ニワタッテ
翌, 接頭詞,数接続,*,*,*,*,翌,ヨク,ヨク
ティラーソン, 名詞,一般,*,*,*,*,*
村, 名詞,接尾,地域,*,*,*,村,ムラ,ムラ
未来志向, 名詞,固有名詞,一般,*,*,*,未来志向,ミライシコウ,ミライシコー
32, 名詞,数,*,*,*,*,*
視, 名詞,接尾,サ変接続,*,*,*,視,シ,シ
犯, 名詞,接尾,一般,*,*,*,犯,ハン,ハン
変更, 名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
有権者, 名詞,一般,*,*,*,*,有権者,ユウケンシャ,ユーケンシャ
免許, 名詞,サ変接続,*,*,*,*,免許,メンキョ,メンキョ
民間, 名詞,一般,*,*,*,*,民間,ミンカン,ミンカン
2010年, 名詞,固有名詞,一般,*,*,*,2010年,ニセンジュウネン,ニセンジュウネン
